"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition","task_version","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","task_part","left_choice","middle_choice","right_choice","choice_positions","correct_response","correct_position","key_press","option_selected","points","task_block","correct","stim_cat","block_condition","block_number"
"pavlovia","0","3","0.0-0.0","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","4587","0.0-1.0","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","true","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","10771","0.0-2.0","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","3","16268","0.0-3.0","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","5493.333333333332","audio/beep_loop.wav"," ","","","","","","","","","","","","","","","",""
"audio-button-response","4","23623","0.0-4.0","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","7328","audio/shark.wav","4","","","","","","","","","","","","","","","",""
"audio-button-response","5","28408","0.0-5.0","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","3787","audio/turtle.wav","1","","","","","","","","","","","","","","","",""
"preload","6","34166","0.0-6.0","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","42706","0.0-7.0","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","8537.599999997765","Welcome to the experiment. Press any key to begin and to advance the instructions."," ","","","","","","","","","","","","","","","",""
"learning-instructions","8","51919","0.0-8.0-0.0-0.0","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","1450.699999999255","<p> Welcome! Today you are going to play 6 different rounds of a decision-making game. </p><p> Use the mouse to click next to continue. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","56149","0.0-8.0-0.0-0.1","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","1231.199999999255","<p> You will start with a practice round to learn the rules. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","65107","0.0-8.0-0.0-0.2","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","1213.699999999255","<p> Your goal in this round is to deliver sports equipment to three different parks. </p><p> You will need to deliver many types of equipment. </p></div>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","74390","0.0-8.0-0.0-0.3","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","796.8000000007451","<p> On each turn, you will see one piece of sports equipment and three different parks.  </p><p> You need to select which park to deliver the equipment to.  </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","12","90430","0.0-8.0-0.0-0.4","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","2746.599999997765","<p> You can select the park on the left by pressing the '1' key on your keyboard. <br>You can select the park in the middle by pressing the '2' key on your keyboard. <br>You can select the park on the right by pressing the '3' key on your keyboard.  </p><br><div class=""choice-instructions-grid""> <div class=""choice-option""><img src=""images/park1.png"" class=""choice-option-img"" stage=""instructions"" position=""0"" ><div class=""choice-option-text""> Press ""1."" </div></div><div class=""choice-option""><img src=""images/park2.png"" class=""choice-option-img"" stage=""instructions"" position=""1"" ><div class=""choice-option-text""> Press ""2."" </div></div><div class=""choice-option""><img src=""images/park3.png"" class=""choice-option-img"" stage=""instructions"" position=""2"" ><div class=""choice-option-text""> Press ""3."" </div></div></div>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","13","97624","0.0-8.0-0.0-0.5","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","1810.7000000029802","<p> If the kids in the park you chose like the equipment, they will be very happy! </p><div style='float: center;'><img src='images/check.png' width = '200' height = '200'></img>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","14","104071","0.0-8.0-0.0-0.6","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","860.5","<p> But, if the kids in the park you chose do not like the equipment, they will be sad. </p><div style='float: center;'><img src='images/x.png' width = '200' height = '200'></img>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","15","111852","0.0-8.0-0.0-0.7","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","1353.3999999985099","<p> Importantly, the kids in each park like some pieces of sports equipment more than others. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","16","118365","0.0-8.0-0.0-0.8","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","460.3999999985099","<p> If you choose the best park for each piece of equipment, the kids there will usually be happy. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","17","126146","0.0-8.0-0.0-0.9","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","1144.3999999985099","<p> However, even if you choose the best park for the equipment, the kids may sometimes be sad. </p>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","18","134020","0.0-8.0-0.0-0.10","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","641.1999999992549","<p> Similarly, even if you choose the <i>wrong</i> park for the equipment, the kids may still be happy sometimes.","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","19","142826","0.0-8.0-0.0-0.11","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","3758.900000002235","<p> For example, the best park for this soccer ball is this one.<div style='float: center;'><img src='images/i1.png' width = '500' height = '268'></img>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","20","149530","0.0-8.0-0.0-0.12","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","1413.1000000014901","<p> Let's see what happens if you choose this park for the soccer ball five times.","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","21","152842","0.0-8.0-0.0-0.13","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","1139.699999999255","<p> The kids are happy.<div style='float: left;'><img src='images/i2.png' width = '640' height = '360'></img>","","0","instructions","","","","","","","","","","","","","",""
"learning-instructions","22","155364","0.0-8.0-0.0-0.14","1416","1","2","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""3589""
","
","","","","","","351.9000000022352","<p> The kids are happy.<div style='float: left;'><img src='images/i3.png' width = '640' height = '360'></img>","","0","instructions","","","","","","","","","","","","","",""
