sim_beta_c_cCond,sim_beta_e_cCond,sim_beta_c_eCond,sim_beta_e_eCond,sim_alpha,sim_q_init,fit_beta_c_cCond,fit_beta_e_cCond,fit_beta_c_eCond,fit_beta_e_eCond,fit_alpha,fit_q_init
1.9222,-1.8508,-0.63074,-1.2319,-3.5724,-1.2335,1.3306,0.16731,0.62165,-0.046208,-3.5327,-1.4926
-0.31952,-1.1567,-1.1535,1.0935,0.20995,-1.075,-0.051193,-0.98556,-0.52834,1.0967,1.0474,-0.31225
-0.544,1.9141,1.5038,2.0072,-0.57154,-0.44412,0.52985,1.8167,1.1643,1.7018,-0.34898,-0.64367
1.6933,1.2811,1.6385,-1.2527,-3.6267,0.30562,-1.0848,0.64596,-1.2497,-1.2596,1.836,0.98628
-0.23006,3.943,-0.22612,1.0493,-2.6088,3.8163,0.02552,3.4805,-0.058383,1.4537,-3.3364,2.7266
2.428,-0.08546,-1.2226,4.193,0.28933,-0.70206,2.89,0.40361,0.1844,5.231,-0.99797,-0.43054
-1.3501,0.48258,0.883,-0.90112,1.711,-1.4524,0.24368,-0.81264,1.2515,-0.22238,1.0775,-0.95977
1.679,-0.576,0.44747,-1.0645,-4.0103,0.93968,-0.89633,1.0992,-1.1287,-1.014,-1.9256,2.4995
-0.81116,0.13995,-0.43167,0.201,-0.75275,-2.2784,-1.3863,-0.19234,-0.3123,0.030242,-0.34142,-1.0278
-0.6427,3.6783,-0.93892,2.7978,-2.5695,-2.3406,-0.08064,4.7926,1.5556,2.336,-2.1535,-3.4239
2.4442,1.7457,-0.55277,-0.67495,1.562,1.501,2.6187,1.2194,-0.65478,-0.060925,1.1346,1.485
-0.13781,1.9543,-0.70177,4.3805,0.72073,0.41229,0.97725,1.7295,-1.0458,3.9399,0.8263,0.72188
0.0026511,2.0303,2.0336,1.0477,-3.6297,4.1669,0.35402,2.5478,2.5816,1.9695,-3.5153,2.4836
1.7904,2.3377,2.073,-0.90492,0.11606,-1.8287,2.0276,2.3678,2.0118,-1.3648,0.35899,-2.1962
-0.27222,-1.2723,-1.4855,-0.37723,-3.8298,-1.5306,-1.9349,-1.301,-0.49245,0.10895,-2.4262,-0.20578
1.9856,0.3145,1.5535,0.6149,-1.6055,-0.41614,2.0973,1.1294,1.7048,1.1304,-1.6492,-0.60945
2.7096,2.0671,-0.69553,0.45759,-3.9492,4.0441,0.073612,3.35,1.465,-0.95855,-3.2956,2.7776
0.27028,-0.043098,0.4995,4.0552,-1.8302,-2.2544,0.13424,0.17839,-0.19702,4.2959,-1.7542,-2.3315
0.52866,-1.0586,2.5536,3.4199,-0.78477,2.2671,0.45427,-1.1835,2.9501,3.3901,-0.52574,3.9074
2.2848,4.0126,-1.7018,1.8878,-1.0633,-0.25554,1.999,3.6558,-0.41482,1.5155,-0.79687,-0.31574
2.5963,2.4894,-0.23132,3.9087,0.95828,3.476,2.5769,2.443,-0.11978,3.6536,0.78242,3.9853
0.28424,-0.068327,1.6699,-0.36097,-2.4519,4.1779,2.1178,-0.063985,2.9649,-0.16108,-3.5581,1.0581
0.14485,-0.71985,-1.327,-0.63722,-2.1687,3.7052,-0.32731,0.25392,-0.93585,-0.073701,-2.4372,2.5817
-0.46296,3.1236,-1.9135,-1.6899,-1.7678,-1.2371,0.44444,2.6087,-1.4526,-1.6095,-1.3485,-2.4942
2.4278,1.7935,-1.5053,0.73197,-3.251,2.2343,2.6545,0.23278,0.68196,0.50591,-3.7749,2.316
-0.62587,1.961,2.298,1.963,-0.68718,-0.10517,0.063584,1.9665,2.5538,2.4397,-0.91813,-0.010744
0.47984,-1.509,1.4688,3.1309,-0.92226,2.9083,-1.0156,-0.52354,4.1898,4.6956,-0.39413,5.1746
2.8905,0.044319,1.9799,-0.6852,-0.72034,-1.2144,3.0872,-0.58392,1.9278,-0.19008,-0.61809,-1.5082
3.2486,3.3847,2.13,1.1836,-4.0434,3.1244,0.067819,3.501,-0.20727,2.3904,-3.6918,2.4874
0.90489,0.40011,-1.8106,0.016618,1.5253,4.2742,0.37281,0.64552,-0.90832,-0.49099,0.51798,2.4989
1.6375,-1.8332,-0.71663,-1.719,0.10399,3.5004,1.6467,-1.1708,-0.61519,-0.061373,-0.15007,2.9616
1.3218,2.3121,1.1322,-0.93954,-2.6893,1.0406,0.0040694,2.2474,1.0034,0.19709,-2.3243,1.2806
-1.0226,1.3664,2.2914,-1.0178,-2.6002,-2.334,-0.18691,1.3558,2.285,-1.0562,-2.507,-2.9305
0.11866,0.86561,-0.75074,2.3621,-3.0299,2.7115,0.84721,-0.19336,-0.54189,2.4523,-2.9259,2.7196
1.4506,3.9466,1.7673,-2.0778,-2.045,0.79155,1.3482,4.4409,2.0658,-1.0763,-2.5258,0.41869
1.5116,-0.87805,-1.1453,2.3356,-3.9509,2.5327,1.8828,-0.47552,-0.095854,2.6568,-3.5917,1.8147
1.6097,4.3513,1.4016,0.56824,-2.6754,3.2314,-0.039481,3.4717,0.19828,1.0826,-2.3712,3.7397
-1.4909,0.75745,1.2038,3.9555,-3.3254,3.5034,0.77439,-0.72109,0.059193,4.0367,-3.3324,2.1358
-0.20701,4.0935,1.6481,0.82587,-3.3887,2.053,-0.093819,3.6587,1.1484,1.1689,-2.9118,3.0895
1.2768,3.6642,-1.9472,0.29577,-2.4272,2.212,0.054013,5.3542,-0.42289,0.4371,-2.0148,3.3923
-1.3248,-1.6144,1.6965,1.3808,-3.0917,-0.82112,-0.87355,-0.78012,0.98703,0.62808,-2.1747,-1.9478
0.59395,-1.3147,1.4549,-1.6548,-3.5545,4.1383,1.3313,-0.85993,-0.61708,2.1613,-3.6464,1.7101
2.6896,3.4194,0.89207,0.30657,-0.20829,2.913,2.4703,3.6311,0.92284,-0.38114,-0.14448,2.7019
1.6416,1.6035,0.40277,2.1868,-0.6374,4.2223,1.2054,2.1453,1.019,2.4754,-0.50389,3.426
2.809,-1.6617,-0.13788,-0.61506,-1.9806,3.0674,2.6553,-0.93434,0.26678,-0.17184,-1.5625,3.3322
1.9105,0.2932,-1.9662,2.0436,-1.5325,0.321,1.5702,-0.81986,-1.4505,1.5437,-0.59201,0.63287
0.69279,2.7153,2.4827,-0.32947,-0.70964,2.8892,2.0172,3.3495,2.623,-0.52698,-1.1529,2.2545
-1.3755,-1.6788,1.0863,4.1693,1.7567,4.0518,-0.47667,-1.4203,0.017504,4.1272,1.0785,1.227
0.55909,3.0745,-0.61814,0.81741,-1.6358,-1.027,-0.418,3.3181,-1.5843,1.2143,-1.9142,-0.64618
1.638,2.5977,-1.9908,-1.0419,-3.3796,3.4025,-0.041128,3.216,-1.4897,-1.6294,-3.223,2.1646
1.2579,1.2851,-1.8449,4.354,0.62119,0.87789,1.2455,0.39424,0.17611,4.592,0.33747,0.60192
0.16313,1.8139,2.0966,-2.0258,0.75858,-0.62621,0.20903,1.5823,2.1733,-0.99749,0.42442,-0.69351
2.6905,2.7925,-1.199,-1.535,-0.5399,-2.3221,2.8547,2.497,-0.81803,-2.0546,-0.3701,-3.5528
-1.0475,3.739,-0.29612,3.7899,-2.053,-2.2055,-0.22288,5.5705,-1.2275,3.2632,-1.9345,-2.5133
0.45729,-0.33079,2.306,-2.0198,-1.8047,-0.32043,-0.096397,-1.1426,2.1654,0.50169,-1.9822,-0.2462
-1.2138,-0.40894,-1.5159,-0.95275,1.1401,-0.026538,-0.97191,0.038338,-0.73041,-1.2941,1.2324,-1.6406
-1.4475,3.5375,-1.0251,3.3983,-0.29147,2.9959,-0.38608,3.9171,-0.4395,3.6565,-0.53274,2.4218
-0.51356,-0.74311,-1.2687,2.6019,-3.612,1.6979,0.11308,-0.2141,2.0448,2.4107,-3.2788,1.609
1.1965,0.46156,1.47,-1.0758,-3.1248,1.2718,0.73698,-0.085185,1.1256,-1.3476,-1.0525,1.7561
1.1182,1.3003,0.56735,0.94985,-3.4946,1.9964,2.1456,0.63437,0.64254,1.4473,-3.3012,1.5751
2.302,-1.0893,2.4574,-0.90961,-1.6994,3.6397,2.5988,-1.4388,2.4528,-1.1296,-1.5916,3.7781
2.6841,1.7855,1.247,3.5481,-2.7036,3.6497,2.8869,-0.2822,0.12379,3.5442,-3.1093,3.127
0.15964,0.0154,-0.25347,3.7422,-1.0242,-1.1125,0.61894,-0.6418,-0.70559,4.5197,-0.91762,-0.99545
2.1732,1.3657,2.3447,-2.1624,1.2583,4.0191,2.0569,1.3564,2.2327,-1.3041,1.7504,2.9095
0.54746,4.216,-1.7325,-1.0572,-3.1475,3.2664,-0.025115,3.8779,-1.1293,-1.3026,-3.2207,1.9837
-1.3151,3.9783,0.68175,2.0761,-2.7273,3.4988,-0.18155,4.1767,2.5391,2.4915,-3.0088,2.261
1.6306,0.24633,0.56645,3.6196,-3.4273,-0.43672,0.9573,-0.23245,-0.41448,2.9474,-2.4486,-0.98549
-0.19322,3.8027,2.6418,0.49927,1.1528,3.657,0.073436,5.1859,3.0142,0.64438,1.0188,3.2452
1.7176,0.19758,-1.804,-1.565,-1.7291,3.267,1.2781,2.055,-1.2088,-1.538,-1.6136,1.3982
0.4963,1.6196,2.6942,3.2047,-3.8459,2.1915,1.3783,1.5956,0.040893,3.4466,-3.1016,2.0798
2.0848,0.41187,-0.99875,3.3258,-2.7436,0.88996,1.9241,1.2353,1.7228,2.8683,-2.7409,1.0535
0.058996,-0.76209,0.018887,2.5724,-2.4861,1.7202,0.53968,-1.155,-0.51274,1.9691,-1.9658,2.6838
-1.0446,2.1712,2.5029,-0.42811,1.6589,1.5158,-1.6407,2.1794,3.1229,-0.60475,1.2604,1.1906
0.082461,2.7977,1.2634,0.87867,1.2467,1.394,-1.1932,3.2116,1.3807,1.4676,0.77029,0.99741
3.1952,1.6348,1.3466,-1.1877,-4.0057,-0.59814,2.6799,0.5189,0.33127,-0.095765,-3.3705,-1.3581
-0.17329,4.0416,-0.58833,-0.11754,-2.2181,-1.1927,-0.58069,3.4911,-1.3685,-1.3223,-1.7892,-1.8438
-1.379,2.7954,-0.37578,-0.95067,-3.6628,-1.5794,-0.81765,3.243,-1.1559,-1.4555,-2.9951,-1.7928
-1.1281,-1.835,-0.46952,0.76279,-1.7557,2.5496,-1.1602,-1.5944,1.0015,0.77307,-2.2221,1.7065
2.0079,1.1809,1.6609,4.3875,-0.14704,-0.65705,1.6897,1.5282,-0.12473,4.5328,0.75862,-0.65445
-1.3054,-1.4898,2.6276,1.876,-2.2289,0.63788,-0.92955,-0.5403,2.9888,1.9447,-2.5662,0.47761
-0.63041,2.0624,-1.9605,-1.2737,-1.8256,-2.2812,0.78553,2.7902,-0.012422,-0.92655,-2.8241,-1.0257
1.7387,2.5681,-1.6196,0.20775,-3.9951,0.089106,-0.28343,-0.74841,-0.15941,-1.3435,-1.2629,-1.0673
0.47317,-0.71617,0.28915,4.3633,1.5336,4.345,0.25984,-0.81815,-0.11428,3.9466,0.65502,1.4559
2.6863,3.2605,-1.5158,0.37625,1.2809,-1.1956,2.6666,3.5579,-1.0067,-0.13222,0.82356,-0.82062
2.9729,2.7164,-1.6665,1.7065,-0.53265,-0.37036,2.9087,3.421,-0.78118,1.7621,-0.59328,-0.21474
0.26936,-0.36863,0.32272,-0.96905,-4.1061,4.2981,-0.41989,1.1229,-0.30708,1.065,-4.3693,2.3257
2.0727,4.3258,2.4115,-1.1058,-1.6803,0.18469,2.1883,4.2932,2.2672,-0.066325,-1.5777,0.26882
0.58955,-0.21313,-1.4421,1.4388,0.64286,-0.6725,0.56978,-0.36888,-0.51442,1.6718,0.44078,-0.17213
-1.3115,4.2684,-1.5196,4.2904,0.68799,-2.3534,0.019411,5.1594,1.8365,4.3021,0.51244,-1.9306
2.2026,-0.48757,-0.79306,2.5409,-3.0027,3.3379,1.9189,1.4164,-0.20748,2.4789,-2.7963,2.9292
-0.44963,0.48644,1.3543,-1.787,-3.7966,2.8338,-0.37045,0.11163,1.8394,-0.27065,-4.2136,1.5606
0.93483,-0.76947,1.704,3.9234,-2.3045,3.7357,1.1996,0.0053201,0.017739,4.9855,-2.4326,3.5331
-0.16641,4.2406,-0.61733,4.285,0.98283,-0.25337,0.56737,4.2977,0.65889,4.3707,0.23444,-0.26546
3.111,0.018669,-0.19979,-1.3961,1.1019,4.294,3.2102,-1.0356,-0.99685,-2.3174,2.5544,1.8494
2.7003,-1.7444,-1.1104,2.5023,-1.0245,3.6443,2.4654,-0.087212,0.68222,2.0692,-0.62136,4.831
-1.2313,2.5824,-0.83357,2.6822,-0.087388,-1.8711,-0.13326,2.036,-1.2812,2.5496,0.59774,-3.3904
1.6574,0.50048,-1.292,4.3716,-1.1279,3.554,1.7334,1.3295,-0.6082,4.288,-1.4702,2.4564
0.86483,1.2085,0.3628,1.2496,1.2813,-1.3235,1.205,1.4674,0.87618,1.6245,-0.028803,-0.72433
3.0409,3.5372,2.2146,4.0853,-0.1466,3.8466,2.1509,3.6126,2.4794,4.039,-0.42888,2.5217
1.0686,3.5595,-1.5958,3.3781,-0.67276,-1.9552,1.4259,4.358,0.029117,3.5605,-1.167,-1.167
0.10972,-1.6848,-0.38162,-1.8714,0.87448,-2.1019,-0.71835,0.40969,-0.6618,-2.0171,0.55956,-1.9512
0.32253,1.3207,-0.47471,4.3591,-3.7639,0.27484,-1.7466,0.52425,-0.20409,2.6393,-1.7649,2.1697
