"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task_version","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","button_pressed","task_part","key_press","answer","correct"
"pavlovia","0","6","0.0-0.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","","","","","","","","","","","","",""
"fullscreen","1","6541","0.0-1.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","true","","","","","","","","","","","",""
"preload","2","8174","0.0-2.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","true","false","[]","[]","[]","","","","","","","",""
"preload","3","9334","0.0-3.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","true","false","[]","[]","[]","","","","","","","",""
"preload","4","9562","0.0-4.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","true","false","[]","[]","[]","","","","","","","",""
"audio-keyboard-response","5","11474","0.0-5.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","","","","","","1912.0000000000002","audio/beep_loop.wav"," ","","","","",""
"audio-button-response","6","13318","0.0-6.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","","","","","","1840","audio/turtle.wav","3","","","","",""
"audio-button-response","7","15769","0.0-7.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","","","","","","1429","audio/shark.wav","2","","","","",""
"preload","8","18343","0.0-8.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","true","false","[]","[]","[]","","","","","","","",""
"learning-instructions","9","24953","0.0-9.0-0.0","4468","approach_avoid_sv1","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""1"",""5556""
","
","","","","","","2131.800000190735","<p> Welcome back! </p><p> Last week, you had to make choices about lots of different items.  </p>","","0","instructions","","",""
